P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11
16.3749516076658+0i,16.3749516076658+0i,0+0i,-2.44091676321765e-23+0i,-0.5+0.351740371481376i,-0.5-0.351740371481376i,6.90419943438769e-16+0i,-0.0113333252002721+0i,-0.988666674799729+0i,1.14635160043704e-21+0i,1+0i
17.8507960831762+0i,17.8507960831762+0i,0+0i,4.80249431420924e-22+0i,-0.5+0.304158218879764i,-0.5-0.304158218879764i,-0.709863941486085+0i,-2.77555756156289e-17+0i,-0.290136058513915+0i,1.14635160043704e-21+0i,0+0i
18.957679439809,18.957679439809,0,0.241925288282108,-1.24192528828211,1.1613309805086e-17,-0.767638255888882,8.32667268468867e-17,-0.232361744111118,1.14635160043704e-21,0
19.3266405586867,19.3266405586867,0,-1.59332182510362,0.593321825103624,-1.13138805002469e-19,0.462515558725664,-1.46251555872566,-6.41153763676031e-19,1.14635160043704e-21,1
16.7870969025996,16.7870969025996,0,0.391233782095281,-1.39123378209528,1.76975194244329e-18,-0.96172913824389,-1.59441416233003e-15,-0.0382708617561091,0,0
19.3697271953073+0i,19.3697271953073+0i,0+0i,2.18912056642452e-25+0i,-0.5+0.651322485597528i,-0.5-0.651322485597528i,-2.05662045955772e-22+0i,-0.500000000000001+0.402000917563175i,-0.500000000000001-0.402000917563175i,0+0i,0+0i
16.2963092416492,16.2963092416492,0,2.22044604925031e-16,-0.93506399628194,-0.0649360037180609,-1.32536158862106,0.325361588621055,-1.2976978920838e-19,0,0
19.0123607819241+0i,19.0123607819241+0i,0+0i,2.60226497065208e-21+0i,-0.5+0.338170801168268i,-0.5-0.338170801168268i,-0.943596202341427+0i,-3.07737234132854e-16+0i,-0.0564037976585721+0i,0+0i,0+0i
17,17,0,-0.820211506728328,-1.66533453693773e-16,-0.179788493271673,0.158684834576754,-1.15868483457675,-3.28299928918687e-17,0,1
