P_1,P_2,P_3,P_4,P_5,P_6,P_7
16.3749516076658+0i,16.3749516076658+0i,0+0i,4.01849639770606e-15+6.04684048080353e-09i,4.01849639770606e-15-6.04684048080353e-09i,-1.00000000000001+0i,1.14635160043704e-21+0i
17.8507960831762+0i,17.8507960831762+0i,0+0i,2.49973997297487e-15+2.8248428890688e-09i,2.49973997297487e-15-2.8248428890688e-09i,-1+0i,1.14635160043704e-21+0i
18.957679439809+0i,18.957679439809+0i,0+0i,4.80346720654331e-15+9.65996941126138e-09i,4.80346720654331e-15-9.65996941126138e-09i,-1.00000000000001+0i,1.14635160043704e-21+0i
19.3266405586867+0i,19.3266405586867+0i,0+0i,2.28463450824901e-15+3.33069350584247e-09i,2.28463450824901e-15-3.33069350584247e-09i,-1+0i,1.14635160043704e-21+0i
16.7870969025996+0i,16.7870969025996+0i,0+0i,1.45196581241892e-15+2.49474969967607e-09i,1.45196581241892e-15-2.49474969967607e-09i,-1+0i,0+0i
19.3697271953073+0i,19.3697271953073+0i,0+0i,2.79030904558554e-15+5.13886215397161e-09i,2.79030904558554e-15-5.13886215397161e-09i,-1.00000000000001+0i,0+0i
16.2963092416492+0i,16.2963092416492+0i,0+0i,3.90400418189807e-15+5.8485621016898e-09i,3.90400418189807e-15-5.8485621016898e-09i,-1.00000000000001+0i,0+0i
19.0123607819241+0i,19.0123607819241+0i,0+0i,3.75915134066541e-15+3.83792663082369e-09i,3.75915134066541e-15-3.83792663082369e-09i,-1.00000000000001+0i,0+0i
17+0i,17+0i,0+0i,1.76768695456669e-15+3.70958854276787e-09i,1.76768695456669e-15-3.70958854276787e-09i,-1+0i,0+0i
